uid	code	category	long_description	short_description
979084	85708	1		Hematology and coagulation
979085	85709	1		Hematology and coagulation
979086	85710	1		Hematology and coagulation
979087	85711	1		Hematology and coagulation
979088	85712	1		Hematology and coagulation
979089	85713	1		Hematology and coagulation
979090	85714	1		Hematology and coagulation
979091	85715	1		Hematology and coagulation
979092	85716	1		Hematology and coagulation
979093	85717	1		Hematology and coagulation
979094	85718	1		Hematology and coagulation
979095	85719	1		Hematology and coagulation
979096	85720	1		Hematology and coagulation
979097	85721	1		Hematology and coagulation
979098	85722	1		Hematology and coagulation
979099	85723	1		Hematology and coagulation
979100	85724	1		Hematology and coagulation
979101	85725	1		Hematology and coagulation
979102	85726	1		Hematology and coagulation
979103	85727	1		Hematology and coagulation
979104	85728	1		Hematology and coagulation
979105	85729	1		Hematology and coagulation
979106	85730	1		Hematology and coagulation
979107	85731	1		Hematology and coagulation
979108	85732	1		Hematology and coagulation
979109	85733	1		Hematology and coagulation
979110	85734	1		Hematology and coagulation
979111	85735	1		Hematology and coagulation
979112	85736	1		Hematology and coagulation
979113	85737	1		Hematology and coagulation
979114	85738	1		Hematology and coagulation
979115	85739	1		Hematology and coagulation
979116	85740	1		Hematology and coagulation
979117	85741	1		Hematology and coagulation
979118	85742	1		Hematology and coagulation
979119	85743	1		Hematology and coagulation
979120	85744	1		Hematology and coagulation
979121	85745	1		Hematology and coagulation
979122	85746	1		Hematology and coagulation
979123	85747	1		Hematology and coagulation
979124	85748	1		Hematology and coagulation
979125	85749	1		Hematology and coagulation
979126	85750	1		Hematology and coagulation
979127	85751	1		Hematology and coagulation
979128	85752	1		Hematology and coagulation
979129	85753	1		Hematology and coagulation
979130	85754	1		Hematology and coagulation
979131	85755	1		Hematology and coagulation
979132	85756	1		Hematology and coagulation
979133	85757	1		Hematology and coagulation
979134	85758	1		Hematology and coagulation
979135	85759	1		Hematology and coagulation
979136	85760	1		Hematology and coagulation
979137	85761	1		Hematology and coagulation
979138	85762	1		Hematology and coagulation
979139	85763	1		Hematology and coagulation
979140	85764	1		Hematology and coagulation
979141	85765	1		Hematology and coagulation
979142	85766	1		Hematology and coagulation
979143	85767	1		Hematology and coagulation
979144	85768	1		Hematology and coagulation
979145	85769	1		Hematology and coagulation
979146	85770	1		Hematology and coagulation
979147	85771	1		Hematology and coagulation
979148	85772	1		Hematology and coagulation
979149	85773	1		Hematology and coagulation
979150	85774	1		Hematology and coagulation
979151	85775	1		Hematology and coagulation
979152	85776	1		Hematology and coagulation
979153	85777	1		Hematology and coagulation
979154	85778	1		Hematology and coagulation
979155	85779	1		Hematology and coagulation
979156	85780	1		Hematology and coagulation
979157	85781	1		Hematology and coagulation
979158	85782	1		Hematology and coagulation
979159	85783	1		Hematology and coagulation
979160	85784	1		Hematology and coagulation
979161	85785	1		Hematology and coagulation
979162	85786	1		Hematology and coagulation
979163	85787	1		Hematology and coagulation
979164	85788	1		Hematology and coagulation
979165	85789	1		Hematology and coagulation
979166	85790	1		Hematology and coagulation
979167	85791	1		Hematology and coagulation
979168	85792	1		Hematology and coagulation
979169	85793	1		Hematology and coagulation
979170	85794	1		Hematology and coagulation
979171	85795	1		Hematology and coagulation
979172	85796	1		Hematology and coagulation
979173	85797	1		Hematology and coagulation
979174	85798	1		Hematology and coagulation
979175	85799	1		Hematology and coagulation
979176	85800	1		Hematology and coagulation
979177	85801	1		Hematology and coagulation
979178	85802	1		Hematology and coagulation
979179	85803	1		Hematology and coagulation
979180	85804	1		Hematology and coagulation
979181	85805	1		Hematology and coagulation
979182	85806	1		Hematology and coagulation
979183	85807	1		Hematology and coagulation
979184	85808	1		Hematology and coagulation
979185	85809	1		Hematology and coagulation
979186	85810	1		Hematology and coagulation
979187	85811	1		Hematology and coagulation
979188	85812	1		Hematology and coagulation
979189	85813	1		Hematology and coagulation
979190	85814	1		Hematology and coagulation
979191	85815	1		Hematology and coagulation
979192	85816	1		Hematology and coagulation
979193	85817	1		Hematology and coagulation
979194	85818	1		Hematology and coagulation
979195	85819	1		Hematology and coagulation
979196	85820	1		Hematology and coagulation
979197	85821	1		Hematology and coagulation
979198	85822	1		Hematology and coagulation
979199	85823	1		Hematology and coagulation
979200	85824	1		Hematology and coagulation
979201	85825	1		Hematology and coagulation
979202	85826	1		Hematology and coagulation
979203	85827	1		Hematology and coagulation
979204	85828	1		Hematology and coagulation
979205	85829	1		Hematology and coagulation
979206	85830	1		Hematology and coagulation
979207	85831	1		Hematology and coagulation
979208	85832	1		Hematology and coagulation
979209	85833	1		Hematology and coagulation
979210	85834	1		Hematology and coagulation
979211	85835	1		Hematology and coagulation
979212	85836	1		Hematology and coagulation
979213	85837	1		Hematology and coagulation
979214	85838	1		Hematology and coagulation
979215	85839	1		Hematology and coagulation
979216	85840	1		Hematology and coagulation
979217	85841	1		Hematology and coagulation
979218	85842	1		Hematology and coagulation
979219	85843	1		Hematology and coagulation
979220	85844	1		Hematology and coagulation
979221	85845	1		Hematology and coagulation
979222	85846	1		Hematology and coagulation
979223	85847	1		Hematology and coagulation
979224	85848	1		Hematology and coagulation
979225	85849	1		Hematology and coagulation
979226	85850	1		Hematology and coagulation
979227	85851	1		Hematology and coagulation
979228	85852	1		Hematology and coagulation
979229	85853	1		Hematology and coagulation
979230	85854	1		Hematology and coagulation
979231	85855	1		Hematology and coagulation
979232	85856	1		Hematology and coagulation
979233	85857	1		Hematology and coagulation
979234	85858	1		Hematology and coagulation
979235	85859	1		Hematology and coagulation
979236	85860	1		Hematology and coagulation
979237	85861	1		Hematology and coagulation
979238	85862	1		Hematology and coagulation
979239	85863	1		Hematology and coagulation
979240	85864	1		Hematology and coagulation
979241	85865	1		Hematology and coagulation
979242	85866	1		Hematology and coagulation
979243	85867	1		Hematology and coagulation
979244	85868	1		Hematology and coagulation
979245	85869	1		Hematology and coagulation
979246	85870	1		Hematology and coagulation
979247	85871	1		Hematology and coagulation
979248	85872	1		Hematology and coagulation
979249	85873	1		Hematology and coagulation
979250	85874	1		Hematology and coagulation
979251	85875	1		Hematology and coagulation
979252	85876	1		Hematology and coagulation
979253	85877	1		Hematology and coagulation
979254	85878	1		Hematology and coagulation
979255	85879	1		Hematology and coagulation
979256	85880	1		Hematology and coagulation
979257	85881	1		Hematology and coagulation
979258	85882	1		Hematology and coagulation
979259	85883	1		Hematology and coagulation
979260	85884	1		Hematology and coagulation
979261	85885	1		Hematology and coagulation
979262	85886	1		Hematology and coagulation
979263	85887	1		Hematology and coagulation
979264	85888	1		Hematology and coagulation
979265	85889	1		Hematology and coagulation
979266	85890	1		Hematology and coagulation
979267	85891	1		Hematology and coagulation
979268	85892	1		Hematology and coagulation
979269	85893	1		Hematology and coagulation
979270	85894	1		Hematology and coagulation
979271	85895	1		Hematology and coagulation
979272	85896	1		Hematology and coagulation
979273	85897	1		Hematology and coagulation
979274	85898	1		Hematology and coagulation
979275	85899	1		Hematology and coagulation
979276	85900	1		Hematology and coagulation
979277	85901	1		Hematology and coagulation
979278	85902	1		Hematology and coagulation
979279	85903	1		Hematology and coagulation
979280	85904	1		Hematology and coagulation
979281	85905	1		Hematology and coagulation
979282	85906	1		Hematology and coagulation
979283	85907	1		Hematology and coagulation
979284	85908	1		Hematology and coagulation
979285	85909	1		Hematology and coagulation
979286	85910	1		Hematology and coagulation
979287	85911	1		Hematology and coagulation
979288	85912	1		Hematology and coagulation
979289	85913	1		Hematology and coagulation
979290	85914	1		Hematology and coagulation
979291	85915	1		Hematology and coagulation
979292	85916	1		Hematology and coagulation
979293	85917	1		Hematology and coagulation
979294	85918	1		Hematology and coagulation
979295	85919	1		Hematology and coagulation
979296	85920	1		Hematology and coagulation
979297	85921	1		Hematology and coagulation
979298	85922	1		Hematology and coagulation
979299	85923	1		Hematology and coagulation
979300	85924	1		Hematology and coagulation
979301	85925	1		Hematology and coagulation
979302	85926	1		Hematology and coagulation
979303	85927	1		Hematology and coagulation
979304	85928	1		Hematology and coagulation
979305	85929	1		Hematology and coagulation
979306	85930	1		Hematology and coagulation
979307	85931	1		Hematology and coagulation
979308	85932	1		Hematology and coagulation
979309	85933	1		Hematology and coagulation
979310	85934	1		Hematology and coagulation
979311	85935	1		Hematology and coagulation
979312	85936	1		Hematology and coagulation
979313	85937	1		Hematology and coagulation
979314	85938	1		Hematology and coagulation
979315	85939	1		Hematology and coagulation
979316	85940	1		Hematology and coagulation
979317	85941	1		Hematology and coagulation
979318	85942	1		Hematology and coagulation
979319	85943	1		Hematology and coagulation
979320	85944	1		Hematology and coagulation
979321	85945	1		Hematology and coagulation
979322	85946	1		Hematology and coagulation
979323	85947	1		Hematology and coagulation
979324	85948	1		Hematology and coagulation
979325	85949	1		Hematology and coagulation
979326	85950	1		Hematology and coagulation
979327	85951	1		Hematology and coagulation
979328	85952	1		Hematology and coagulation
979329	85953	1		Hematology and coagulation
979330	85954	1		Hematology and coagulation
979331	85955	1		Hematology and coagulation
979332	85956	1		Hematology and coagulation
979333	85957	1		Hematology and coagulation
979334	85958	1		Hematology and coagulation
979335	85959	1		Hematology and coagulation
979336	85960	1		Hematology and coagulation
979337	85961	1		Hematology and coagulation
979338	85962	1		Hematology and coagulation
979339	85963	1		Hematology and coagulation
979340	85964	1		Hematology and coagulation
979341	85965	1		Hematology and coagulation
979342	85966	1		Hematology and coagulation
979343	85967	1		Hematology and coagulation
979344	85968	1		Hematology and coagulation
979345	85969	1		Hematology and coagulation
979346	85970	1		Hematology and coagulation
979347	85971	1		Hematology and coagulation
979348	85972	1		Hematology and coagulation
979349	85973	1		Hematology and coagulation
979350	85974	1		Hematology and coagulation
979351	85975	1		Hematology and coagulation
979352	85976	1		Hematology and coagulation
979353	85977	1		Hematology and coagulation
979354	85978	1		Hematology and coagulation
979355	85979	1		Hematology and coagulation
979356	85980	1		Hematology and coagulation
979357	85981	1		Hematology and coagulation
979358	85982	1		Hematology and coagulation
979359	85983	1		Hematology and coagulation
979360	85984	1		Hematology and coagulation
979361	85985	1		Hematology and coagulation
979362	85986	1		Hematology and coagulation
979363	85987	1		Hematology and coagulation
979364	85988	1		Hematology and coagulation
979365	85989	1		Hematology and coagulation
979366	85990	1		Hematology and coagulation
979367	85991	1		Hematology and coagulation
979368	85992	1		Hematology and coagulation
979369	85993	1		Hematology and coagulation
